"Cod_Prod","Nom_Prod","Concent","Nom_Form_Farm","Nom_Form_Farm_Simplif","Presentac","Fracciones","Fec_Vcto_Reg_Sanitario","Num_RegSan","Nom_Titular","Situacion"
"49320"," DEQUAZOL R"," 500 mg + 100 000 UI + 7 mg	","Ovulo","OVULO","Caja Envase Tiras Óvulos	","100","20/01/2024","EN07179","MEDIFARMA","ACT"
"45136"," EQUALAX","5  mg","Tableta Recubierta de Liberación Prolongada","TABLETA","Caja Envase Blister Tabletas Recubiertas","100","08/07/2019","EN06089","MEDIFARMA","ACT"
"49215"," FLAVOSEX 200","200 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tableta Recubierta","30","22/07/2024","EE07596","REP. DIPHASAC ","ACT"
"49299"," FLIXOTIDE","125 ug/dosis","Suspensión para Inhalación en envase a presión","AEROSOL","Caja Frasco  x 60  dosis","1","16/04/2023","EE08066","GLAXO OPERATIONS UK LIMITED","ACT"
"49176"," FLUTITEROL 125 PLUS","125 mcg + 25 mcg","Suspensión para Inhalación en envase a presión","AEROSOL","Caja Envase Aerosol x 120 dosis","1","04/12/2022","EE05512","OQ PHARMA","ACT"
"49298"," HISALER®","5 mg/5 mL","Jarabe","SOLUCION","Caja Frasco x 60 mL + accesorio","1","06/10/2023","EE07948","BAGO","ACT"
"48883"," ICADEN","1 %","Crema","CREMA","Caja Tubo x 20 g","1","22/03/2024","EE08194","BIOPAS","ACT"
"54139"," ITRACOPHARM ","100 mg","Cápsula","CAPSULA","Caja Envase Blíster Cápsulas	","100","16/05/2023","EE05974","OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.","ACT"
"49521"," LIDOCAINA ","5 %","Ungüento","UNGUENTO","Caja Tubo x 10 g","1","12/11/2022","EN07295","LUSA","ACT"
"48316"," LIDOCAINA 2% CON EPINEFRINA 1:200 000 S/P ","2 %","Solución Inyectable","INYECTABLE","Caja Vial x 20 mL","25","10/04/2022","EN07066","LUSA","ACT"
"48728"," LOPERAMIDA"," 2 mg","Tableta","TABLETA","Caja Envase Blister Tableta ","100","21/03/2023","NG6412","PORTUGAL","ACT"
"45711"," LORATADINA ","5 mg/5 mL","Jarabe","SOLUCION","Caja Frasco x 60 mL","1","09/09/2018","EN03171","INDUQUIMICA","ACT"
"49300"," MUVETT","300 mg","Tableta de Liberación Prolongada","TABLETA"," Caja Envase Blister Tabletas de Liberación Prolongada","20","18/02/2023","EE08190","UNIMED","ACT"
"48168"," MYCLOR","2 mg + 0.03 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tableta Recubierta","1","17/12/2023","EE06741","AVANX LAB. SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - AVANX LAB. S.R.L.","ACT"
"50015"," MYCTRIM BALSAMICO","200 mg + 40 mg + 50 mg/ 5 mL","Suspensión Oral","SUSPENSION","Caja Frasco x 60 mL","1","27/05/2023","EN07635","MEDROCK CORPORATION SOCIEDAD ANONIMA CERRADA","ACT"
"50505"," NASTIFLU","","Tableta","TABLETA","Caja Envase Blister Tableta	","120","27/10/2024","EN06573","TEVA PERU S.A.","ACT"
"44999"," N-BUTIL BROMURO DE HIOSCINA","20  mg/1 mL","Solución Inyectable","INYECTABLE","Caja Ampolla","100","28/09/2022","EE05332","J&M","ACT"
"46016"," NOVALGEZE","10 mg","Tableta Recubierta","TABLETA","Caja Envase Blíster Tabletas Recubiertas","200","04/06/2023","EN06168","NOVAX","ACT"
"41082"," ONDANSETRON","8  mg/4 mL","Solución Inyectable","INYECTABLE","Caja Vial x 4 mL","10","30/01/2022","EE04689","SANDERSON","ACT"
"46861"," PEDEA","5 mg/mL ","Solución Inyectable","INYECTABLE","Caja Ampolla x 4 mL","4","24/01/2023","EE05639","PHARMA HOSTING","ACT"
"47871"," PRIORIX","","Polvo para Solución Inyectable","INYECTABLE","Caja Jeringa prellenada + Vial + 2 Accesorio","1","08/04/2024","BE01110","GLAXO OPERATIONS UK LIMITED","ACT"
"47752"," Q-DOLESE ","10 mg","Tableta Recubierta","TABLETA","Caja Envase Blíster Tabletas Recubiertas","100","15/04/2024","EN06729","FARMASUR","ACT"
"48833"," REPRIMAN ","400 mg/ mL","Solución Oral","SOLUCION","Caja Frasco Gotero x 10 mL","1","13/03/2023","EN07683","QUIMICA SUIZA","ACT"
"45983"," SUCRALFLAM","1g/5 mL","Suspensión Oral","SUSPENSION","Frasco x 180 mL + Accesorio","1","25/01/2023","EN05880","PORTUGAL","ACT"
"45973"," ULCEALIV"," 20 mg","Cápsula de Liberación Retardada","CAPSULA","Caja Envase Blister Capsulas","28","03/05/2020","EN01363","NAT. y GEN.","ACT"
"47760"," VITHOCREM-3","1 g + 0.1 g + 0.05 g","Crema","CREMA","Tubo x 10g","1","02/03/2023","EN05978","PHARMAVIT","ACT"
"49301"," ZETIX-D ","5 mg + 120 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsula","50","10/11/2023","EE07900","FARMINDUSTRIA S.A.","ACT"
"46137","	SALES DE REHIDRATACION ORAL","2.5 g + 1.5 g + 2.9 g + 13.5 g","Polvo para Solución Oral","SOLUCION","Caja Sobre x 20.5 g","50","25/04/2018","EE03853","PHARMAGEN S.A.C.","ACT"
"39838","3A OFTENO","0.1 %","Solución Oftálmica","SOLUCION OFTALMICA","Caja Frasco gotero x 5 mL","1","08/07/2020","EE01394","FARMACEUTICA CONTINENTAL","ACT"
"46962","3-A OFTENO","01%","Solución Oftálmica","SOLUCION OFTALMICA","Caja Frasco gotero x 5 mL","1","08/07/2020","EE01394","LABORATORIOS OFTALMICOS S.A.C.","ACT"
"47895","3DT BIOTIC","500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas","100","19/10/2019","EN06975","BIOS PERU","ACT"
"44453","3-GEL","582  mg  +  196  mg  +  20  mg","Suspensión Oral","SUSPENSION","Caja Sobre x 10 mL","1","05/03/2019","EE04012","DROPESAC","ACT"
"42762","3-GEL ","582  mg  +  196  mg  +  20  mg	","Suspensión Oral","SUSPENSION","Caja Sobre x 10 mL","20","05/03/2019","EE04012","DROPESAC","ACT"
"49288","44 ","","Jarabe","SOLUCION","Frasco x 120mL","1","30/09/2018","E11206","PROCTER&GAMBLE","ACT"
"50863","44","","Jarabe","SOLUCION","Frasco x 120 mL","1","30/09/2023","EE08165","PROCTER&GAMBLE","ACT"
"45625","5 FLUCEL 250","250  mg/5 mL","Solución Inyectable","INYECTABLE","Caja Ampollas","5","20/02/2022","EE04743","SEVEN","ACT"
"45626","5 FLUCEL 500","500  mg/10 mL","Solución Inyectable","INYECTABLE","Caja Ampollas","5","20/02/2022","EE04741","SEVEN","ACT"
"3","A FOLIC","0.5  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","30","19/04/2015","N21715","IQ FARMA","ACT"
"43435","AAS 81","81  mg","Comprimido","TABLETA","Caja Envase Blister Comprimidos","100","20/05/2019","EE01948","QUIMFA","ACT"
"43436","AAS 81","81  mg","Comprimido","TABLETA","Caja Envase Blister Comprimidos","30","20/05/2019","EE01948","QUIMFA","ACT"
"49051","AASCARD","100 mg","Tableta de Liberación Retardada","TABLETA","Caja Envase Blister Tableta de Liberación Retarda","100","19/07/2022","EE05109","DOCTOR ANDREU Q.F.S.A.","ACT"
"50713","AB AMBROMOX ","1200 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Ampolla x 5 mL","2","13/11/2022","N20373","FARMINDUSTRIA S.A.","ACT"
"5","AB AMBROMOX","600  mg","Polvo para Solución Inyectable","INYECTABLE","Caja  Vial","1","13/11/2012","N20372","FARMINDUSTRIA S.A.","ACT"
"6","AB AMBROMOX","1 200  mg","Polvo para Solución Inyectable","INYECTABLE","Vial + Accesorios","1","13/11/2012","N20373","FARMINDUSTRIA S.A.","ACT"
"34606","AB AMBROMOX","1 200  mg","Polvo para Solución Inyectable","INYECTABLE","Caja Vial + Solvente","1","13/11/2012","N20373","FARMINDUSTRIA S.A.","ACT"
"34385","AB BRONCOPEN R NF","300  mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Solvente x 3 mL","1","30/09/2020","N26940","LUSA","ACT"
"49254","AB BRONPAMOX","1200 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Envase Vial + Ampolla x 5 mL","1","05/02/2023","EN07662","FARMINDUSTRIA S.A.","ACT"
"49337","AB BRONPAMOX ","600 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Ampolla x 5 mL","1","05/02/2023","EN07600","FARMINDUSTRIA S.A.","ACT"
"37330","AB MOKS","250  mg  +  15  mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 60 mL + Accesorio","1","27/12/2019","EN02513","MEDIFARMA","ACT"
"37331","AB MOKS","250  mg  +  15  mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 105 mL","1","27/12/2019","EN02513","MEDIFARMA","ACT"
"37332","AB MOKS","250  mg  +  15  mg/5 mL","Polvo para Suspensión Oral","SUSPENSION","Frasco X 75 mL","1","27/12/2019","EN02513","MEDIFARMA","ACT"
"41663","AB MOKS FORTE ","","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 70 mL","1","20/04/2020","EN03118","MEDIFARMA","ACT"
"44788","ABACAVIR ","300  mg","Tableta Recubierta","TABLETA","Caja Frasco Tabletas Recubiertas","60","01/08/2020","EE01528","SEVEN","ACT"
"37869","ABACAVIR","300  mg","Tableta Recubierta","TABLETA","Caja Frasco Tabletas","60","01/08/2020","EE01528","EXCELLAN PERU","ACT"
"47940","ABACAVIR","300 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubierta","500","04/01/2020","EN00787","LABORATORIOS AC FARMA S.A.","ACT"
"53608","ABACAVIR SULFATO","300 mg","Tableta","TABLETA","Caja Frasco x 60 tabletas","1","01/10/2022","EE01414","PHARMARIS","ACT"
"53609","ABACAVIR SULFATO Y LAMIVUDINA","600 mg + 300 mg","Tableta Recubierta","TABLETA","Caja Frasco x 30 Tabletas Recubiertas","1","04/12/2025","EE02451","PHARMARIS","ACT"
"48350","ABACAVIR SULFATO Y LAMIVUDINA","600 mg + 300 mg","Tableta Recubierta","TABLETA","Caja Frasco Tableta Recubierta","30","04/12/2020","EE02451","PHARMARIS","ACT"
"48938","AB-BRONCOL NF 1200","1000 mg + 200 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Ampolla solvente x 5 mL","1","30/12/2023","EN07674","MEDIFARMA","ACT"
"42814","AB-BRONCOL NF 1200","1000  mg  +  200  mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Solvente x 5 mL","1","30/12/2013","N25382","MEDIFARMA","ACT"
"42813","AB-BRONCOL NF 600","","Polvo para Suspensión Inyectable","INYECTABLE","Caja Vial + Solvente x 5 mL","1","30/12/2013","N25384","MEDIFARMA","ACT"
"48917","AB-BRONCOL NF 600","600 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja 1 Vial + 1 Ampolla Solvente x 5 mL","2","30/12/2023","EN07660","MEDIFARMA","ACT"
"52485","AB-BRONCOL NF 600","600 mg","Polvo para Suspensión Inyectable","INYECTABLE","Caja 1 Vial + 1 Ampolla Solvente x 5 mL","1","30/12/2023","EN07660","MEDIFARMA","ACT"
"48642","ABFLEXIL","7.5 mg  + 0.005 mg / 5 mL","Jarabe","SOLUCION","Caja Envase Frasco x 120 ml + accesorio","1","25/06/2024","EN06886","DROGUERIA TOBAL S.A.C.","ACT"
"50445","ABIPRO","250 mg","Tableta","TABLETA","Caja Frasco Tableta","120","05/09/2024","EE07755","SUN PHARMACEUTICAL ","ACT"
"54286","ABIRAGLOB 250","250 mg","Tableta","TABLETA","Caja Frasco x 120 Tabletas","1","23/11/2026","EE10395","WORLD DRUG","ACT"
"42329","ABIRATERONA","250  mg","Comprimido","TABLETA","Caja Frasco Comprimidos","120","28/02/2022","EE04775","PERULAB","ACT"
"46742","ABIRAVITAE","250 mg","Comprimido","TABLETA","Caja Frasco x 120 Comprimidos","1","05/02/2023","EE05688","GALENICUM ","ACT"
"48597","ABLNIVELAN ","2 mg","Comprimido Recubierto","TABLETA","Caja Envase Blíster Comprimido Recubierto","20","29/03/2021","EE02527","GRUNENTHAL ","ACT"
"48598","ABLNIVELAN","1 mg","Comprimido Recubierto","TABLETA","Caja Envase Blister Comprimidos Recubiertos","20","29/03/2021","EE02590","GRUNENTHAL ","ACT"
"51392","ABLNIVELAN","1 mg/ mL","Solución Oral","SOLUCION","Caja Frasco Gotero x 30 mL","1","22/11/2024","EE08057","GRUNENTHAL ","ACT"
"39494","ABLNIVELAN ","1  mg/mL","Solución Oral","SOLUCION","Caja Frasco x 30 mL","1","15/12/2019","EE00576","GRUNENTHAL ","ACT"
"48770","AB-MOKS","500 mg + 30 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas","100","20/10/2020","EN06232","MEDIFARMA","ACT"
"46834","AB-MOKS FORTE","","Tableta Recubierta","TABLETA","Caja Envase Blíster Tabletas Recubiertas","60","10/10/2020","EN06233","MEDIFARMA","ACT"
"45920","AB-MOKS FORTE ","","Tableta Recubierta","TABLETA","Caja Envase Blíster Tabletas Recubiertas","16","10/10/2020","EN06233","MEDIFARMA","ACT"
"53721","ABRAXANE","100 mg","Polvo Para Suspensión Para Perfusión","INYECTABLE","Caja Vial","1","18/09/2025","EE01892","BRISTOL-MYERS SQUIBB PERU S.A.","ACT"
"37337","ABRAXANE","100  mg","Polvo Para Suspensión Para Perfusión","INYECTABLE","Caja  Vial","1","18/09/2020","EE01892","TECNOFARMA S.A.","ACT"
"53017","ABUBRON - AB","500 mg + 30 mg","Cápsula","CAPSULA","Caja Envase Blister Cápsulas","100","28/05/2023","EN07283","REP. CASTILLO","ACT"
"53217","ABUBRON - AB","(250 mg + 15 mg)/ 5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 60 mL","1","05/06/2023","EN07289","REP. CASTILLO","ACT"
"51039","ABUBRON AB","(250 mg + 15 mg) / 5 mL","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 60 mL","1","05/06/2018","N24703","REP. CASTILLO","ACT"
"54467","ABUBRON BR","500 mg + 8 mg","Cápsula","CAPSULA","Caja Envase Blíster Cápsulas","100","19/10/2026","EN08774","REP. CASTILLO","ACT"
"50044","ABUFENE","500 mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas Recubiertas","100","07/12/2020","EN02685","E.S.C. PHARMED","ACT"
"54104","ABXEDA","400 mg/ 16 mL","Concentrado para Solución para Perfusión","INYECTABLE","Caja Vial x 16 mL","1","29/10/2026","BE01225","FARMINDUSTRIA S.A.","ACT"
"53817","ABXEDA","100 mg/ 4 mL","Concentrado para Solución para Perfusión","INYECTABLE","Caja Vial x 4 mL","1","04/10/2026","BE01222","FARMINDUSTRIA S.A.","ACT"
"34894","AC LASH","0.03 %","Solución Oftálmica","SOLUCION OFTALMICA","Frasco X 3 mL","1","25/04/2017","N27171","LABORATORIOS AC FARMA S.A.","ACT"
"53146","ACARIL","10 g + 10 g","Crema","CREMA","Caja Tubo x 42 g","1","15/01/2023","EN07130","MEDIFARMA","ACT"
"48376","ACARIL","10 g + 10 g","Crema","CREMA","Tubo x 42 g","1","15/01/2023","EN07130","MEDIFARMA","ACT"
"41859","ACARIL S ","30 %","Loción","LOCION","Caja Frasco x 60 mL","1","28/10/2017","EN03404","MEDIFARMA","ACT"
"53201","ACCOPRIL-20","20 mg","Tableta","TABLETA","Caja Envase Blíster Tableta","100","27/08/2025","EE08901","ACCORD HEALTHCARE S.A.C.","ACT"
"43504","ACCUPRIL","10  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","28","12/07/2022","EE05301","PFIZER S.A.","ACT"
"43505","ACCUPRIL","20  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","28","12/07/2022","EE05333","PFIZER S.A.","ACT"
"43506","ACCUPRIL","40  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","28","12/07/2022","EE05306","PFIZER S.A.","ACT"
"29252","ACCUPRIL","10  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","28","12/07/2022","E22819","PFIZER S.A.","ACT"
"29253","ACCUPRIL","20  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","28","12/07/2022","E22820","PFIZER S.A.","ACT"
"29254","ACCUPRIL","40  mg","Tableta Recubierta","TABLETA","Caja Envase Blister Tabletas","28","12/07/2022","E22818","PFIZER S.A.","ACT"
"44707","ACECNOU 3G","3 g","Granulos para Solución Oral","GRANULOS","Caja Sobre x 8 g","1","01/08/2021","EE03710","FAES FARMA","ACT"
"43892","ACELIN","325  mg  +  10  mg  +  4  mg","Comprimido","TABLETA","Caja Envase Blister Comprimidos","100","15/05/2022","EE04931","UNIDAS DEL PERU","ACT"
"30183","ACEMUK","2 g/100 mL","Granulos para Suspensión Oral","GRANULOS","Frasco X 100 mL","1","28/02/2022","E22661","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"30179","ACEMUK 200","200  mg","Comprimido Efervescente","TABLETA","Caja Envase Blíster Comprimidos","10","14/03/2021","E22439","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"30180","ACEMUK 200","200  mg","Comprimido Efervescente","TABLETA","Caja Envase Blíster Comprimidos","20","14/03/2021","E22439","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"40503","ACEMUK 200","200  mg","Comprimido Efervescente","TABLETA","Caja Tubo Comprimidos ","10","14/03/2021","EE02739","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"40502","ACEMUK 600","600  mg","Comprimido Efervescente","TABLETA","Caja Tubo Comprimidos ","10","14/03/2021","EE02740","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"44734","ACEMUK 600","600  mg","Comprimido Efervescente","TABLETA","Caja Envase Folio Comprimidos Efervescente","20","14/03/2021","EE02740","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"30181","ACEMUK 600","600  mg","Comprimido Efervescente","TABLETA","Caja Envase Blíster Comprimidos","10","14/03/2021","E22440","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"30182","ACEMUK 600","600  mg","Comprimido Efervescente","TABLETA","Caja Envase Blíster Comprimidos","20","14/03/2021","E22440","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"53028","ACEMUK DIA Y NOCHE","","Comprimido Efervescente","TABLETA","Caja Sobre Comprimido Efervescente","16","28/03/2023","EE05849","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"54455","ACEMUK L","100 mg + 8 mg + 1 mg","Comprimido de Disolución Bucal","TABLETA","Caja Envase Blíster Comprimidos","20","16/11/2021","EE04487","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"46604","ACEMUK L","100 mg + 8 mg + 1 mg","Comprimido de Disolución Bucal","TABLETA","Caja Envase Blíster Comprimidos de Disolución Bucal","4","16/11/2021","EE04487","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"30198","ACEMUK L","100  mg  +  8  mg  +  1  mg","Comprimido de Disolución Bucal","TABLETA","Caja Envase Blíster Comprimidos","20","16/11/2021","E22584","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"35302","ACEMUK L","100  mg  +  8  mg  +  1  mg","Comprimido de Disolución Bucal","TABLETA","Caja Envase Blíster Comprimidos","100","16/11/2021","E22584","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"35303","ACEMUK L","100  mg  +  8  mg  +  1  mg","Comprimido de Disolución Bucal","TABLETA","Caja Envase Blíster Comprimidos","4","16/11/2021","E22584","LABORATORIOS SIEGFRIED S.A.C.","ACT"
"45450","ACEPOT","","Suspensión Inyectable","INYECTABLE","Caja Ampolla x 1 mL","1","07/01/2019","EN05928","TEVA PERU S.A.","ACT"
"35588","ACETAK","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","20","18/03/2019","EN01577","MEDIFARMA","ACT"
"35589","ACETAK","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","100","18/03/2019","EN01577","MEDIFARMA","ACT"
"48595","ACETALITO ","120 mg/ 5 mL","Jarabe","SOLUCION","Caja Frasco x 120 mL","1","02/11/2022","EN05710","LABORATORIOS QUILLA PHARMA PERU S.A.C.","ACT"
"53763","ACETATO DE MEDROXIPROGESTERONA","150 mg/ mL","Suspensión Inyectable","INYECTABLE","Caja Vial x 1 mL","1","27/02/2026","EE09534","AGRIPINO SARMIENTO","ACT"
"49229","ACETAZOLAMIDA","250 mg","Tableta","TABLETA","Caja Envase Blister Tableta","10","05/03/2023","EN00308","LABORATORIOS AC FARMA S.A.","ACT"
"35624","ACETAZOLAMIDA","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","100","05/03/2018","EN00308","LABORATORIOS AC FARMA S.A.","ACT"
"38077","ACETAZOLAMIDA","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","10","24/03/2018","EN01633","MEDROCK CORPORATION SOCIEDAD ANONIMA CERRADA","ACT"
"80","ACETAZOLAMIDA","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","30","14/06/2022","NG3379","FARMINDUSTRIA S.A.","ACT"
"39839","ACETAZOLAMIDA","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","100","24/03/2018","EN01633","MEDROCK CORPORATION SOCIEDAD ANONIMA CERRADA","ACT"
"40993","ACETAZOLAMIDA","250  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","30","14/06/2022","EN05055","FARMINDUSTRIA S.A.","ACT"
"49130","ACETILCISTEINA","600 mg","Granulos para Solución Oral","GRANULOS","Caja Sobre x 2 g","50","30/09/2024","EN07233","VITA PHARMA","ACT"
"49991","ACETILCISTEINA","200 mg","Granulos para Solución Oral","GRANULOS","Caja Envase Sobres x 2 g","50","29/04/2024","EN06746","VITA PHARMA","ACT"
"47872","ACETILCISTEINA","200 mg","Granulos para Solución Oral","GRANULOS","Caja Sobre x 3 g","30","10/05/2024","EE07314","SANOFI - AVENTIS DEL PERU S.A.","ACT"
"50433","ACETILCISTEINA ","200 mg","Granulos para Solución Oral","GRANULOS","Caja Envase Sobre x 2 g ","1","29/04/2024","EN06746","VITA PHARMA","ACT"
"51653","ACETILCISTEINA ","200 mg","Granulos para Solución Oral","GRANULOS","Caja Sobre x 3 g","1","10/05/2024","EE07314","SANOFI - AVENTIS DEL PERU S.A.","ACT"
"50002","ACETOSODIUM","27.22 %","Solución Inyectable","INYECTABLE","Caja Ampolla x 20 mL","1","02/03/2018","EN03433","MEDIFARMA","ACT"
"49230","ACEVIR","250 mg","Polvo para Solución Inyectable","INYECTABLE","Caja Vial +  Ampolla Solvente x 10 mL","1","18/06/2023","EN00085","LABORATORIOS AC FARMA S.A.","ACT"
"46108","ACEVIR","250 mg","Polvo para Solución Inyectable","INYECTABLE","Caja Vial + Solvente Ampolla x 10 mL","10","18/06/2018","EN00085","LABORATORIOS AC FARMA S.A.","ACT"
"41656","ACEVIR","400  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","100","20/02/2021","EN02873","LABORATORIOS AC FARMA S.A.","ACT"
"27549","ACEVIR","400  mg","Tableta","TABLETA","Caja Envase Blister Tabletas","10","20/02/2021","N19880","LABORATORIOS AC FARMA S.A.","ACT"
"47861","ACI - TIP","800 mg + 40 mg","Comprimido Masticable","TABLETA","Caja Envase Blister Comprimido Masticable","140","16/05/2021","EE03153","MEGA LABS LATAM S.A.","ACT"
"48792","ACI BASIC","400 mg + 30 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco x 150 mL","1","12/02/2024","EN07578","TEVA PERU S.A.","ACT"
"48793","ACI BASIC","400 mg + 30 mg/5 mL","Suspensión Oral","SUSPENSION","Frasco x 220 mL","1","12/02/2024","EN07578","TEVA PERU S.A.","ACT"
"47138","ACI BASIC","","Suspensión Oral","SUSPENSION","Frasco x 150 mL","1","12/02/2014","N21058","TEVA PERU S.A.","ACT"
"50696","ACI BASIC","400 mg + 30 mg/ 5 mL","Suspensión Oral","SUSPENSION","Frasco x 220 mL	","1","12/02/2019","N21058","TEVA PERU S.A.","ACT"
"48473","ACI BASIC UVA","800 mg + 60 mg/ 10 mL","Suspensión Oral","SUSPENSION","Frasco x 150 mL","1","21/08/2021","EN05488","TEVA PERU S.A.","ACT"
"27355","ACI BASIC UVA","","Suspensión Oral","SUSPENSION","Frasco  X 150 mL","1","21/08/2021","N22774","TEVA PERU S.A.","ACT"
"29383","ACI TIP","800  mg  +  40  mg","Comprimido Masticable","TABLETA","Caja Envase Blíster Comprimidos","140","16/05/2021","E22479","ROEMMERS","ACT"
"42868","ACI TIP ","800  mg  +  40  mg","Comprimido Masticable","TABLETA","Caja Envase Blister Comprimido Masticable","140","16/05/2021","EE03153","ROEMMERS","ACT"
"46718","ACICLAV","875 mg + 125 mg","Tableta Recubierta","TABLETA","Caja Envase Blíster Tableta Recubierta","14","16/07/2023","EE06168","OQ PHARMA","ACT"
"46719","ACICLAV","250 mg + 62.5 mg","Polvo para Suspensión Oral","SUSPENSION","Caja Frasco x 60 mL","1","06/06/2023","EE06056","OQ PHARMA","ACT"
"46830","ACICLAV","500 mg + 125 mg","Tableta Recubierta","TABLETA","Caja Envase Blíster Tabletas Recubiertas","14","16/07/2023","EE06167","OQ PHARMA","ACT"
